tuoi,thu_nhap_trieu,so_lan_mua_truoc,so_ngay_tu_lan_mua_cuoi,diem_tin_dung,kenh_tiep_can,khu_vuc,mua_hang
34,43.9,5,289,464.0,goi_dien,mien_trung,0
69,47.9,1,220,580.0,goi_dien,mien_trung,0
23,47.6,16,269,619.0,email,mien_trung,1
39,48.8,11,73,720.0,goi_dien,mien_nam,1
22,18.4,5,119,348.0,email,mien_trung,0
57,16.1,14,327,340.0,quang_cao,mien_trung,0
35,26.2,18,353,597.0,sms,mien_trung,0
40,18.8,18,325,328.0,goi_dien,mien_nam,0
60,18.2,7,304,716.0,quang_cao,mien_trung,0
55,18.3,1,38,590.0,sms,mien_nam,0
62,22.1,3,276,364.0,goi_dien,mien_bac,0
45,25.1,13,277,648.0,quang_cao,mien_bac,0
37,19.8,4,123,470.0,sms,mien_nam,0
38,23.4,8,2,842.0,email,mien_nam,1
23,4.6,13,336,654.0,sms,mien_trung,0
68,31.7,2,299,476.0,email,mien_bac,0
49,56.7,18,75,791.0,quang_cao,mien_bac,1
33,17.4,9,231,377.0,sms,mien_bac,0
38,39.7,6,248,475.0,email,mien_trung,0
51,52.7,12,48,613.0,goi_dien,mien_bac,1
22,39.3,1,134,657.0,goi_dien,mien_nam,0
18,17.6,1,215,684.0,email,mien_nam,0
42,55.4,12,268,396.0,goi_dien,mien_nam,0
70,21.0,8,27,794.0,sms,mien_bac,1
70,52.5,19,45,493.0,sms,mien_nam,1
44,42.9,17,252,788.0,email,mien_bac,1
39,47.5,5,36,755.0,goi_dien,mien_trung,1
40,32.5,5,132,642.0,quang_cao,mien_bac,0
38,30.7,1,325,563.0,sms,mien_bac,0
21,59.5,8,329,759.0,sms,mien_nam,0
28,8.0,2,307,435.0,email,mien_trung,0
36,32.3,9,179,566.0,sms,mien_trung,0
62,44.1,11,276,732.0,goi_dien,mien_trung,1
29,9.1,10,94,363.0,goi_dien,mien_trung,1
23,24.8,12,60,675.0,sms,mien_trung,1
24,59.2,18,328,630.0,email,mien_nam,1
47,9.2,18,283,801.0,email,mien_trung,1
55,31.3,17,52,811.0,goi_dien,mien_nam,1
24,41.4,3,340,454.0,goi_dien,mien_nam,0
36,56.1,3,235,725.0,email,mien_bac,0
47,18.1,14,282,310.0,sms,mien_bac,0
45,33.2,16,63,739.0,goi_dien,mien_nam,1
45,42.1,13,164,674.0,sms,mien_trung,1
